d,l1diff_mean,l1diff_std,l1diff_hat_mean,l1diff_hat_std,l2diff_mean,l2diff_std,l2diff_hat_mean,l2diff_hat_std,pearsonr_mean,pearsonr_std,pearsonr_hat_mean,pearsonr_hat_std,cosines,sv hats
1024,0.010312746890953609,0.00295944025958162,0.03697453045419284,0.020003939067078345,0.004426389980861651,0.0011841413886605383,0.015707147953100124,0.00810138873239015,0.9833668558580976,0.015609888773573518,0.8332952469388546,0.15815323385973165,0.0005621512999979927,4.852790423800004
2048,0.010004725307226181,0.0029479960952859003,0.03870062511414289,0.019867559024566914,0.004245720243488904,0.0012209276189026174,0.01615865963406362,0.007857196189302095,0.9832453527347165,0.016082025067087172,0.8133475424704268,0.16663777917232583,0.0005698087000041597,4.419399778399997
4096,0.009531992591089673,0.003122165666972018,0.03940594055586391,0.019042799038970777,0.004031320021022111,0.0013135626193473203,0.016297273632863037,0.0074913053306994125,0.9833260485494423,0.015622290367436483,0.7906524587737681,0.17993939752013077,0.0005788668000008101,4.581610664799999
8192,0.0089887186139822,0.0033900868909086646,0.04055105626583099,0.018656620082275317,0.003784100858028978,0.0014533568064227203,0.016691482220869247,0.007325895776894984,0.9835665456193816,0.015045423154830031,0.7603427022755648,0.2107820890997765,0.0006593860000037921,4.642013692199993
16384,0.008413977853276513,0.0037132661213964972,0.041128960184075615,0.018055742077061204,0.0035298809869511224,0.0016037359464565759,0.016765730256637825,0.007061835551014405,0.9842341484039844,0.014531937341625986,0.7296600984041836,0.23724340012728243,0.000751572299992631,4.742844950000006
32768,0.007865127176046371,0.003998077704762082,0.041127730657656986,0.017442201245039576,0.003292862595602249,0.0017263988068967433,0.016789496104155137,0.006821920190619116,0.9848276463228708,0.01413783644935122,0.6873493462987206,0.28491902690359533,0.001566345599997021,5.265680147500007
