n,l1diff_mean,l1diff_std,l1diff_hat_mean,l1diff_hat_std,l2diff_mean,l2diff_std,l2diff_hat_mean,l2diff_hat_std,pearsonr_mean,pearsonr_std,pearsonr_hat_mean,pearsonr_hat_std,cosines,sv hats
5,0.009171876311302184,0.0026954266861583353,2.3096799850463867e-07,7.798432542933812e-08,0.004719050088897348,0.0012607978851724244,1.2377369884575273e-07,4.4717760714537175e-08,0.9759886712212655,0.020614353785632766,0.9999999999854916,2.016413079965404e-11,0.00020376839999998176,0.04084072640000003
6,0.00869121178984642,0.002684737451832855,0.014126814901828766,0.015791201201074887,0.004370174539508298,0.00132489325609156,0.007271581143605132,0.00809444302099282,0.9795621776599542,0.01788258091883257,0.8768511222094059,0.18509045396453067,0.0002221987000000425,0.05937654349999997
7,0.009545473009347915,0.003166961731762969,0.02451517308751742,0.021106502061252433,0.004537772088466833,0.0013761269243564743,0.011536425492104504,0.009573028029051179,0.9816828549393876,0.015553553067805682,0.8588889018691267,0.18806918083002513,0.0002635568999999727,0.07953291360000007
8,0.010160443000495433,0.0035798661671830514,0.029701840318739414,0.021080489519420643,0.004687007356551476,0.0014215370952947136,0.013678314991061846,0.009359330139022943,0.9821432749241559,0.014736900516640668,0.8541253782944389,0.17491450386522328,0.0004026877000000706,0.11774800939999985
9,0.010137430131435395,0.003311372853978838,0.03263758897781372,0.020069239066262436,0.004554644722957164,0.0013264949706016593,0.014546289621106752,0.008614904975406358,0.9831939463816035,0.013703971477418541,0.831418569095722,0.18013878645072626,0.000492392400000341,0.4793974747999995
10,0.010132978484034539,0.0031048988123833733,0.03601948954164982,0.02097701272620769,0.004434980861454581,0.0012607208418478771,0.015603769904467768,0.008577283199672166,0.9838800991213649,0.013292003576924663,0.8327431585720994,0.16641670578998258,0.0005893068000013102,4.225892503699999
