d,l1diff_mean,l1diff_std,l1diff_hat_mean,l1diff_hat_std,l2diff_mean,l2diff_std,l2diff_hat_mean,l2diff_hat_std,pearsonr_mean,pearsonr_std,pearsonr_hat_mean,pearsonr_hat_std,cosines,sv hats
1024,0.010020508244633675,0.0027466566124571767,0.03410668522119522,0.023495181348128252,0.004833548585884273,0.0010494290825008947,0.01529074134089541,0.010924339918180048,0.9831591586503853,0.010768545831461276,0.8251711910225825,0.270992879700879,0.0005306975999999963,4.115784334
2048,0.009702356457710266,0.002628454137926433,0.03643774926662445,0.0223370005453812,0.00448323605582118,0.0012219756207280763,0.01575039613819513,0.009992213560190148,0.9840992320278068,0.010161601323653811,0.8168065901883128,0.2452534343022872,0.000525275399999714,3.9986797304
4096,0.009152701248725255,0.0027501761634120114,0.038969969004392625,0.022162344866794505,0.00414364078703026,0.0013628797496670999,0.016330417120012916,0.009413805292273885,0.9837923195080249,0.01006132717679411,0.7781283985108084,0.24736190668123736,0.0005610317999995118,4.000483513400003
8192,0.008353987974779946,0.0032342641747702618,0.04113902917930058,0.021358209501296972,0.003743493545334786,0.001607186100951362,0.01710734957972022,0.009028263826809518,0.9844362806821139,0.010083608170416751,0.718447721931862,0.30910441759462937,0.0006285209999987273,4.0540632465999975
16384,0.0076129425317049025,0.003620956661870113,0.04178902823477983,0.020310665561547585,0.003394814202329144,0.0017702966866505617,0.017306823841149566,0.008586734516723125,0.98550658731108,0.009919978059013327,0.6935460341760626,0.3018107485231935,0.0007434163999988641,4.1105634444
