n,l1diff_mean,l1diff_std,l1diff_hat_mean,l1diff_hat_std,l2diff_mean,l2diff_std,l2diff_hat_mean,l2diff_hat_std,pearsonr_mean,pearsonr_std,pearsonr_hat_mean,pearsonr_hat_std,cosines,sv hats
5,0.008091998100280762,0.0022460016211591116,2.41398811340332e-07,5.6151877884318745e-08,0.004669313970953226,0.0010289216679312796,1.3261171147860295e-07,2.8857416732577295e-08,0.983971064677535,0.00979651275598962,0.9999999999903852,7.223624793619214e-12,0.0002438896000000579,0.04280750059999998
6,0.009732875227928161,0.0029208887077009998,0.02095826417207718,0.025239504868412435,0.005180482845753431,0.0011251909626681718,0.010527192051867473,0.01308483604975957,0.9803676380264893,0.012760495825332596,0.9368630872583854,0.1269788589612159,0.00023987519999995043,0.0625431088
7,0.009452568491299947,0.0026150339660095676,0.02958042621612549,0.02516592636275709,0.004866639835139116,0.001172765459526596,0.014075724156803441,0.012344759463706985,0.981111714348765,0.01135251219832652,0.81847367965078,0.31377652463498207,0.00025484079999991136,0.07317314120000003
